schema,table,table_type
auth,audit_log_entries,BASE TABLE
auth,flow_state,BASE TABLE
auth,identities,BASE TABLE
auth,instances,BASE TABLE
auth,mfa_amr_claims,BASE TABLE
auth,mfa_challenges,BASE TABLE
auth,mfa_factors,BASE TABLE
auth,oauth_authorizations,BASE TABLE
auth,oauth_client_states,BASE TABLE
auth,oauth_clients,BASE TABLE
auth,oauth_consents,BASE TABLE
auth,one_time_tokens,BASE TABLE
auth,refresh_tokens,BASE TABLE
auth,saml_providers,BASE TABLE
auth,saml_relay_states,BASE TABLE
auth,schema_migrations,BASE TABLE
auth,sessions,BASE TABLE
auth,sso_domains,BASE TABLE
auth,sso_providers,BASE TABLE
auth,users,BASE TABLE
extensions,pg_stat_statements,VIEW
extensions,pg_stat_statements_info,VIEW
public,accounts_payable,BASE TABLE
public,accounts_payable_active,VIEW
public,accounts_receivable,BASE TABLE
public,accounts_receivable_active,VIEW
public,activity_logs,BASE TABLE
public,activity_logs_active,VIEW
public,asphalt_types,BASE TABLE
public,asphalt_types_active,VIEW
public,audit_log,BASE TABLE
public,audit_log_active,VIEW
public,audit_logs,BASE TABLE
public,audit_logs_active,VIEW
public,avatars,BASE TABLE
public,avatars_active,VIEW
public,bid_packages,BASE TABLE
public,bid_packages_active,VIEW
public,bid_vendors,BASE TABLE
public,bid_vendors_active,VIEW
public,bids,BASE TABLE
public,bids_active,VIEW
public,bim_models,BASE TABLE
public,bim_models_active,VIEW
public,certifications,BASE TABLE
public,certifications_active,VIEW
public,change_orders,BASE TABLE
public,change_orders_active,VIEW
public,commitments,BASE TABLE
public,commitments_active,VIEW
public,compliance_checks,BASE TABLE
public,compliance_checks_active,VIEW
public,compliance_tracking,BASE TABLE
public,compliance_tracking_active,VIEW
public,cost_codes,BASE TABLE
public,cost_codes_active,VIEW
public,crew_assignments,BASE TABLE
public,crew_assignments_active,VIEW
public,crew_members,BASE TABLE
public,crew_members_active,VIEW
public,crews,BASE TABLE
public,crews_active,VIEW
public,daily_logs,BASE TABLE
public,daily_logs_active,VIEW
public,dashboard_configs,BASE TABLE
public,dashboard_configs_active,VIEW
public,document_references,BASE TABLE
public,document_references_active,VIEW
public,documents,BASE TABLE
public,documents_active,VIEW
public,drawing_versions,BASE TABLE
public,drawing_versions_active,VIEW
public,dump_trucks,BASE TABLE
public,dump_trucks_active,VIEW
public,employees,BASE TABLE
public,employees_active,VIEW
public,equipment,BASE TABLE
public,equipment_active,VIEW
public,equipment_assignments,BASE TABLE
public,equipment_assignments_active,VIEW
public,equipment_maintenance,BASE TABLE
public,equipment_maintenance_active,VIEW
public,equipment_usage,BASE TABLE
public,equipment_usage_active,VIEW
public,estimate_line_items,BASE TABLE
public,estimate_line_items_active,VIEW
public,estimates,BASE TABLE
public,estimates_active,VIEW
public,financial_documents,BASE TABLE
public,financial_documents_active,VIEW
public,general_ledger,BASE TABLE
public,general_ledger_active,VIEW
public,hr_documents,BASE TABLE
public,hr_documents_active,VIEW
public,inspections,BASE TABLE
public,inspections_active,VIEW
public,integration_tokens,BASE TABLE
