schema,function,role,security_definer
auth,email,supabase_auth_admin,f
auth,jwt,supabase_auth_admin,f
auth,role,supabase_auth_admin,f
auth,uid,supabase_auth_admin,f
extensions,armor,postgres,f
extensions,armor,postgres,f
extensions,crypt,postgres,f
extensions,dearmor,postgres,f
extensions,decrypt,postgres,f
extensions,decrypt_iv,postgres,f
extensions,digest,postgres,f
extensions,digest,postgres,f
extensions,encrypt,postgres,f
extensions,encrypt_iv,postgres,f
extensions,gen_random_bytes,postgres,f
extensions,gen_random_uuid,postgres,f
extensions,gen_salt,postgres,f
extensions,gen_salt,postgres,f
extensions,grant_pg_cron_access,supabase_admin,f
extensions,grant_pg_graphql_access,supabase_admin,f
extensions,grant_pg_net_access,supabase_admin,f
extensions,hmac,postgres,f
extensions,hmac,postgres,f
extensions,pg_stat_statements,postgres,f
extensions,pg_stat_statements_info,postgres,f
extensions,pg_stat_statements_reset,postgres,f
extensions,pgp_armor_headers,postgres,f
extensions,pgp_key_id,postgres,f
extensions,pgp_pub_decrypt,postgres,f
extensions,pgp_pub_decrypt,postgres,f
extensions,pgp_pub_decrypt,postgres,f
extensions,pgp_pub_decrypt_bytea,postgres,f
extensions,pgp_pub_decrypt_bytea,postgres,f
extensions,pgp_pub_decrypt_bytea,postgres,f
extensions,pgp_pub_encrypt,postgres,f
extensions,pgp_pub_encrypt,postgres,f
extensions,pgp_pub_encrypt_bytea,postgres,f
extensions,pgp_pub_encrypt_bytea,postgres,f
extensions,pgp_sym_decrypt,postgres,f
extensions,pgp_sym_decrypt,postgres,f
extensions,pgp_sym_decrypt_bytea,postgres,f
extensions,pgp_sym_decrypt_bytea,postgres,f
extensions,pgp_sym_encrypt,postgres,f
extensions,pgp_sym_encrypt,postgres,f
extensions,pgp_sym_encrypt_bytea,postgres,f
extensions,pgp_sym_encrypt_bytea,postgres,f
extensions,pgrst_ddl_watch,supabase_admin,f
extensions,pgrst_drop_watch,supabase_admin,f
extensions,set_graphql_placeholder,supabase_admin,f
extensions,uuid_generate_v1,postgres,f
extensions,uuid_generate_v1mc,postgres,f
extensions,uuid_generate_v3,postgres,f
extensions,uuid_generate_v4,postgres,f
extensions,uuid_generate_v5,postgres,f
extensions,uuid_nil,postgres,f
extensions,uuid_ns_dns,postgres,f
extensions,uuid_ns_oid,postgres,f
extensions,uuid_ns_url,postgres,f
extensions,uuid_ns_x500,postgres,f
graphql,_internal_resolve,supabase_admin,f
graphql,comment_directive,supabase_admin,f
graphql,exception,supabase_admin,f
graphql,get_schema_version,supabase_admin,t
graphql,increment_schema_version,supabase_admin,t
graphql,resolve,supabase_admin,f
graphql_public,graphql,supabase_admin,f
pgbouncer,get_auth,supabase_admin,t
public,advance_workflow,postgres,t
public,check_access,postgres,t
public,check_access_bool,postgres,t
public,complete_my_profile,postgres,t
public,count_unread_notifications,postgres,t
public,create_my_organization,postgres,t
public,delete_accounts_payable,postgres,f
public,delete_accounts_receivable,postgres,f
public,delete_activity_logs,postgres,f
public,delete_asphalt_types,postgres,f
public,delete_audit_logs,postgres,f
public,delete_avatars,postgres,f
public,delete_bid_packages,postgres,f
public,delete_bid_vendors,postgres,f
public,delete_bids,postgres,f
public,delete_bim_models,postgres,f
public,delete_certifications,postgres,f
public,delete_change_orders,postgres,f
public,delete_commitments,postgres,f
public,delete_compliance_checks,postgres,f
public,delete_compliance_tracking,postgres,f
public,delete_cost_codes,postgres,f
public,delete_crew_assignments,postgres,f
public,delete_crew_members,postgres,f
public,delete_crews,postgres,f
public,delete_daily_logs,postgres,f
public,delete_dashboard_configs,postgres,f
public,delete_document_references,postgres,f
public,delete_documents,postgres,f
public,delete_drawing_versions,postgres,f
public,delete_dump_trucks,postgres,f
public,delete_employees,postgres,f
public,delete_equipment,postgres,f
public,delete_equipment_assignments,postgres,f
public,delete_equipment_maintenance,postgres,f
public,delete_equipment_usage,postgres,f
public,delete_estimate_line_items,postgres,f
public,delete_estimates,postgres,f
public,delete_financial_documents,postgres,f
public,delete_general_ledger,postgres,f
public,delete_hr_documents,postgres,f
public,delete_inspections,postgres,f
public,delete_integration_tokens,postgres,f
public,delete_inventory_transactions,postgres,f
public,delete_issues,postgres,f
public,delete_job_titles,postgres,f
public,delete_labor_records,postgres,f
public,delete_line_item_entries,postgres,f
public,delete_line_item_templates,postgres,f
public,delete_line_items,postgres,f
public,delete_maps,postgres,f
public,delete_material_inventory,postgres,f
public,delete_material_orders,postgres,f
public,delete_material_receipts,postgres,f
public,delete_materials,postgres,f
public,delete_meeting_minutes,postgres,f
public,delete_notifications,postgres,f
public,delete_organization_members,postgres,f
public,delete_organization_projects,postgres,f
public,delete_organizations,postgres,f
public,delete_payments,postgres,f
public,delete_payroll,postgres,f
public,delete_photos,postgres,f
public,delete_prequalifications,postgres,f
public,delete_procurement_workflows,postgres,f
public,delete_profiles,postgres,f
public,delete_progress_billings,postgres,f
public,delete_project_inspectors,postgres,f
public,delete_projects,postgres,f
public,delete_punch_lists,postgres,f
public,delete_purchase_orders,postgres,f
public,delete_quality_reviews,postgres,f
public,delete_regulatory_documents,postgres,f
public,delete_reports,postgres,f
public,delete_rfis,postgres,f
public,delete_safety_incidents,postgres,f
public,delete_sensor_data,postgres,f
public,delete_subcontractor_agreements,postgres,f
public,delete_subcontracts,postgres,f
public,delete_submittals,postgres,f
public,delete_tack_rates,postgres,f
public,delete_task_dependencies,postgres,f
public,delete_task_status_logs,postgres,f
public,delete_tasks,postgres,f
public,delete_training_records,postgres,f
public,delete_user_projects,postgres,f
public,delete_vendor_bid_packages,postgres,f
public,delete_vendor_contacts,postgres,f
public,delete_vendor_documents,postgres,f
public,delete_vendor_qualifications,postgres,f
public,delete_vendors,postgres,f
public,delete_wbs,postgres,f
public,delete_workflows,postgres,f
public,ensure_fk_indexes_for_schema,postgres,t
public,ensure_soft_delete_cols,postgres,t
public,filter_accounts_payable,postgres,f
public,filter_accounts_receivable,postgres,f
public,filter_activity_logs,postgres,f
public,filter_asphalt_types,postgres,f
public,filter_audit_logs,postgres,f
public,filter_avatars,postgres,f
public,filter_bid_packages,postgres,f
public,filter_bid_vendors,postgres,f
public,filter_bids,postgres,f
public,filter_bim_models,postgres,f
public,filter_certifications,postgres,f
public,filter_change_orders,postgres,f
public,filter_commitments,postgres,f
public,filter_compliance_checks,postgres,f
