schema,table,policy,permissive,roles,command,using,check
public,accounts_payable,no_access,PERMISSIVE,"{anon,authenticated}",ALL,false,false
public,accounts_payable,p_check_access_delete,PERMISSIVE,{public},DELETE,"check_access_bool('delete'::text, 'accounts_payable'::text, project_id, NULL::uuid)",
public,accounts_payable,p_check_access_insert,PERMISSIVE,{public},INSERT,,"check_access_bool('insert'::text, 'accounts_payable'::text, project_id, NULL::uuid)"
public,accounts_payable,p_check_access_select,PERMISSIVE,{public},SELECT,"check_access_bool('select'::text, 'accounts_payable'::text, project_id, NULL::uuid)",
public,accounts_payable,p_check_access_update,PERMISSIVE,{public},UPDATE,"check_access_bool('update'::text, 'accounts_payable'::text, project_id, NULL::uuid)",
public,accounts_receivable,no_access,PERMISSIVE,"{anon,authenticated}",ALL,false,false
public,accounts_receivable,p_check_access_delete,PERMISSIVE,{public},DELETE,"check_access_bool('delete'::text, 'accounts_receivable'::text, project_id, NULL::uuid)",
public,accounts_receivable,p_check_access_insert,PERMISSIVE,{public},INSERT,,"check_access_bool('insert'::text, 'accounts_receivable'::text, project_id, NULL::uuid)"
public,accounts_receivable,p_check_access_select,PERMISSIVE,{public},SELECT,"check_access_bool('select'::text, 'accounts_receivable'::text, project_id, NULL::uuid)",
public,accounts_receivable,p_check_access_update,PERMISSIVE,{public},UPDATE,"check_access_bool('update'::text, 'accounts_receivable'::text, project_id, NULL::uuid)",
public,activity_logs,no_access,PERMISSIVE,"{anon,authenticated}",ALL,false,false
public,activity_logs,p_check_access_delete,PERMISSIVE,{public},DELETE,"check_access_bool('delete'::text, 'activity_logs'::text, NULL::uuid, NULL::uuid)",
public,activity_logs,p_check_access_insert,PERMISSIVE,{public},INSERT,,"check_access_bool('insert'::text, 'activity_logs'::text, NULL::uuid, NULL::uuid)"
public,activity_logs,p_check_access_select,PERMISSIVE,{public},SELECT,"check_access_bool('select'::text, 'activity_logs'::text, NULL::uuid, NULL::uuid)",
public,activity_logs,p_check_access_update,PERMISSIVE,{public},UPDATE,"check_access_bool('update'::text, 'activity_logs'::text, NULL::uuid, NULL::uuid)",
public,asphalt_types,no_access,PERMISSIVE,"{anon,authenticated}",ALL,false,false
public,asphalt_types,p_check_access_delete,PERMISSIVE,{public},DELETE,"check_access_bool('delete'::text, 'asphalt_types'::text, NULL::uuid, NULL::uuid)",
